,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,loudness,mode,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
158,0.502,0.91,7,0.107,0.04,0.0,0.319,0.588,176.084,-2.769,1,249215,4,BTS,2019-04-12,Dionysus,dionysus
159,0.486,0.871,9,0.337,0.0278,0.0,0.313,0.659,85.411,-4.475,0,171023,4,BTS,2019-04-12,Intro : Persona,intro-persona
160,0.645,0.862,11,0.0845,0.0933,0.0,0.193,0.803,119.947,-4.761,0,229773,4,BTS,2019-04-12,작은 것들을 위한 시 (Boy With Luv) (feat. Halsey),with
161,0.579,0.858,8,0.114,0.125,0.0,0.0502,0.475,174.043,-5.212,1,224225,3,BTS,2019-04-12,소우주 (Mikrokosmos),
162,0.639,0.706,7,0.448,0.0104,0.0,0.132,0.259,105.782,-7.874,1,226321,4,BTS,2019-04-12,Make It Right,make-it-right
163,0.633,0.799,7,0.0427,0.0144,0.0,0.194,0.534,142.991,-4.625,0,234178,4,BTS,2019-04-12,HOME,home
164,0.608,0.47,8,0.0428,0.226,0.0,0.0963,0.241,81.0,-6.73,1,227275,4,BTS,2019-04-12,Jamais Vu,
165,0.502,0.91,7,0.107,0.04,0.0,0.319,0.588,176.084,-2.769,1,249215,4,BTS,2019-04-12,Dionysus,dionysus
166,0.486,0.871,9,0.337,0.0278,0.0,0.313,0.659,85.411,-4.475,0,171023,4,BTS,2019-04-12,Intro : Persona,intro-persona
167,0.645,0.862,11,0.0845,0.0933,0.0,0.193,0.803,119.947,-4.761,0,229773,4,BTS,2019-04-12,작은 것들을 위한 시 (Boy With Luv) [feat. Halsey],with
168,0.579,0.858,8,0.114,0.125,0.0,0.0502,0.475,174.043,-5.212,1,224225,3,BTS,2019-04-12,소우주 (Mikrokosmos),
169,0.639,0.706,7,0.448,0.0104,0.0,0.132,0.259,105.782,-7.874,1,226321,4,BTS,2019-04-12,Make It Right,make-it-right
170,0.633,0.799,7,0.0427,0.0144,0.0,0.194,0.534,142.991,-4.625,0,234178,4,BTS,2019-04-12,HOME,home
171,0.608,0.47,8,0.0428,0.226,0.0,0.0963,0.241,81.0,-6.73,1,227275,4,BTS,2019-04-12,Jamais Vu,
172,0.502,0.91,7,0.107,0.04,0.0,0.319,0.588,176.084,-2.769,1,249215,4,BTS,2019-04-12,Dionysus,dionysus
173,0.637,0.799,2,0.0338,0.394,0.0,0.0921,0.57,104.996,-4.518,1,228615,4,BTS,2018-08-24,Euphoria,euphoria
174,0.723,0.906,1,0.281,0.0929,0.0,0.0771,0.393,125.023,-4.777,0,225221,4,BTS,2018-08-24,Trivia 起 : Just Dance,trivia-just-dance
175,0.422,0.578,8,0.0548,0.443,0.0,0.231,0.227,128.921,-7.524,1,276708,4,BTS,2018-08-24,Serendipity - Full Length Edition,serendipity-full-length-edition
176,0.599,0.775,1,0.0542,0.022,0.0,0.0669,0.703,129.817,-3.997,0,223123,4,BTS,2018-08-24,DNA,dna
177,0.612,0.844,5,0.0757,0.14,0.0,0.289,0.652,134.872,-4.694,0,196776,4,BTS,2018-08-24,Dimple,dimple
178,0.761,0.761,5,0.0899,0.242,0.0,0.103,0.484,121.971,-5.721,0,225698,4,BTS,2018-08-24,Trivia 承 : Love,trivia-love
179,0.48,0.927,3,0.27,0.317,0.0,0.0583,0.45,88.804,-5.704,1,228613,4,BTS,2018-08-24,Her,her
180,0.775,0.272,1,0.091,0.56,0.00278,0.112,0.198,103.991,-9.126,0,196998,3,BTS,2018-08-24,Singularity,singularity
